brand, product_name, price
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GT 640 1GB - GV-N640D5-1GL,R$ 44694
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce RTX 2080 Gaming 8GB| GDDR6| 256 Bits - GV-N2080GAMING OC-8GC,R$ 6.03518
Asus,Placa de Video VGA Asus NVIDIA GeForce GTX 1060| 6GB| GDDR5| 192 bits - ROG-STRIX-GTX1060-A6G-GAMING,R$ 2.70576
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 3GB| GDDR5| PCI-E 3.0 - GV-N1050D5-3GD,R$ 97635
Asus,Placa de Video VGA Asus NVIDIA GeForce GTX 1050 2GB| GDDR5| DVI|HDMI|DisplayPort - PH-GTX1050-2G,R$ 94106
Pny,Placa de Video VGA PNY NVIDIA Quadro K1200 DVI Retail English VCQK1200DVI,R$ 2.54106
PCYes,Placa de Video VGA PCYes NVIDIA GeForce GT 730 Dual Fan 4GB| GDDR5| 128 bits| PCI-E 2.0 - PV73012804D5,R$ 54106
MSI,Placa de Video VGA MSI NVIDIA GeForce RTX 2080 Ventus OC| 8GB| GDDR6| 256 bits| PCI-E 3.0 - TU104-400A,R$ 5.64694
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 Windforce OC 2GB| GDDR5| 128 Bits - GV-N1050WF2OC-2GD,R$ 1.01165
ASRock,Placa de Video VGA ASRock AMD Radeon RX 570 Phantom Gaming OC 4GB| GDDR5| 256 Bits - 90-GA0800-00UANF,R$ 1.65871
Asus,Placa de Video VGA Asus AMD Radeon AREZ Phoenix RX 550 2GB| GDDR5| 128 bits - AREZ-PH-RX550-2G,R$ 82341
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GTX 1050 2GB Low Profile - ZT-P10500E-10L,R$ 89635
Gigabyte,Placa de Video VGA Gigabyte AMD Radeon RX 570 Aorus 4GB| GDDR5| 256 Bits - GV-RX570AORUS-4GD,R$ 1.52929
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce RTX 2080 Turbo OC| 8G| GDDR6| 256 Bits| PCI-E 3.0 - GV-N2080TURBO OC-8GC,R$ 6.03518
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1060 G1 Gaming 3GB| GDDR5| 192 Bits - GV-N1060G1 GAMING-3GD,R$ 1.82341
ASRock,Placa de Video VGA ASRock AMD Radeon RX 570 Phantom Gaming OC 8GB| GDDR5| 256 Bits - 90-GA0300-00UANF,R$ 1.81165
